id,task,question,answer,disease,source_page,source_section
dt_020,disease_treatment_qa,ശിരോരോഗം ചികിത്സയ്ക്കായി ഈ ഗ്രന്ഥം നിർദ്ദേശിക്കുന്ന മാർഗം എന്താണ്?,"തജില്‍ സാരം -- കുറുന്തോട്ടി കഷായം വച്ച്‌ അതില്‍ ദേവതാരം, കുറുന്തോട്ടിവേര്‌, അരത്ത, മാഞ്ചി, കടുക്‌, ചുക്ക്‌ ഇവ അരച്ചു കലക്കി എണ്ണ ചേര്‍ത്ത്‌ കാച്ചി എടുക്കു ക. ഈ തൈലം സര്‍വാങ്ഗവാതത്തെ ശമിപ്പിക്കും. ഗുളുചീതൈലം- ഗുളൂചീക്വാഥകല്‍ക്കാഭ്യാം തൈലം ക്ഷീരസമമ്പിതം 93 പക്വം ജയേദസൃഗ്വാതശിരോരോഗജ്വരാദികാന്‍ സാരം - അമൃതു കഷായത്തില്‍ അമൃതു തന്നെ കല്ക്കമായി പാലും ചേര്‍ത്തു എണ്ണ കാച്ചി എടുത്തു ഉപയോഗിച്ചാല്‍ രക്തവാതം, ശിരോരോഗം, ജ്വരം ഇവ ശമി ക്കും. പ്രഭഞ്ജനവിമര്‍ദനതൈലം-- ബലാശതാവരീശിഗ്രുവരണാര്‍ക്കകരഞ്ജകാഃ 94 ഏരണ്ഡശ്ചാപി കോരണ്ഡോ വാജിഗന്ധാ പ്രസാരിണീ പഞ്ചമൂലം വരിഷ്ഠം ച തൈസ്സമൈഃ ക്ഥഥിതേ ജലേ 95 പാദാവശേഷിതേ ദദ്യാല്‍ തൈലസ്യാര്‍ദ്ധാഡകം ഭിഷക്‌",ശിരോരോഗം,350,Vaidyamanorama — full-PDF disease/treatment extraction
dt_021,disease_treatment_qa,കണ്ഠരോഗം എന്ന രോഗത്തിന് ഗ്രന്ഥത്തിൽ നിർദ്ദേശിക്കുന്ന ചികിത്സ എന്താണ്?,"ാസജില്‍ വൈസ്വര്യശ്വാസഗുന്മാര്‍ശള്‍ഛര്‍ദ്ദികണ്ഠാമയാപഹം. 6 സാരം -- പച്ചക്കര്‍പ്പൂരം, ഏലത്തരി, തക്കോലപ്പുട്ടില്‍, ജാതിക്കാ, പച്ചില ഇവ സമഭാഗം (ഓരോ കഴഞ്ച്‌) ഇലവര്‍ങത്തൊലി, നാഗപ്പൂവ്‌, നല്ലമുളക്‌, തിപ്പലി, ചുക്ക്‌, ഇവ ഇരട്ടി വീതം (ഈരണ്ടു കഴഞ്ച്‌) പൊടിച്ചു എല്ലാ മരുന്നുകളോളവും പഞ്ചസാ രചേര്‍ത്തു സേവിക്കുക. ഈ ചൂര്‍ണ്ണം ഹൃദയ്ര്പിയവും രുചികരവും ക്ഷയകാസം, സ്വരഭേദം, വായുമുട്ടല്‍, ഗുന്മം, അര്‍ശസ്സ്‌, ഛര്‍ദ്ദി, കണ്ഠരോഗം ഇവയെ ശമിപ്പിക്കു ന്നതും ആകുന്നു. ബലാബ്ൃഹത്യാദി കഷായം-- ബലാബ്ൃഹത്യംശുമതീദ്വയവാശാശൃതം ജലം കൃഷ്ണാപരാഗസംമിശ്രം ക്ഷയകാസഹരം പരം. ി",കണ്ഠരോഗം,94,Vaidyamanorama — full-PDF disease/treatment extraction
dt_022,disease_treatment_qa,പ്രതിശ്യായം രോഗത്തിന്റെ ചികിത്സയായി ഗ്രന്ഥം എന്താണ് പറയുന്നത്?,"ൂതീകവാളകശടീദഹനൈഃ ശൃതാംഭഃ തൃട്ശുലവാന്‍ പരിപിബേദഥവാ വിഷുച്യാം കൈഡര്യസിദ്ധസലിലം ശരപുംഖജം വാ. 63 സാരം - കുവളത്തിന്‍വേര്‍, അയമോദകം, മുത്തങ്ങാക്കിഴങ്ങ്‌, ചുക്ക്‌, കൊത്ത മ്പാലരി, വയമ്പ്‌, ആവിത്തൊലി, ഇരുവേലി, കച്ചോലം, കൊടുവേലിക്കിഴ്ങ്‌ ഇവ കൊണ്ടുള്ള കഷായമോ കരിവേപ്പിന്‍തണ്ടുകൊണ്ടോ കൊഴിഞ്ഞിലിന്‍വേരു കൊണ്ടോ ഉണ്ടാക്കിയ കഷായമോ സേവിച്ചാല്‍ തണ്ണിര്‍ദാഹത്തോടുകുടിയ വിഷു ചിക ശമിക്കും. ആര്‍ദ്രകപ്രയോഗം- മന്ദാഗ്നിത്വം പ്രതിശ്യായം പാണ്ഡുതാം വിഷമജ്ലരം അരുചിം ശ്വാസകാസം ച നിഹന്യാന്മധുനാര്‍ദ്രകം. 4 സാരം - തേനും ഇഞ്ചിയും കൂടി ഉപയോഗിച്ചാല്‍ അഗ്നിമാന്ദ്യം, പീനസം, പാണ്ഡുത്വം, വിഷമജ്ചരം, അരുചി, വായുമൂട്ടല്‍, ചുമ ഇവ ശമിക്കും. ത്രരാദി പ്രയോഗം-- അതിമാത്രം വിഷുചീ ചേത്ത്ക്രം ദധി ഹിമം ജലം നാളികേരാംബു പേയാം വാ പ്രാണ്രതാണായ ദാപയേല്‍. 65 സാരം - വിഷുചിക അത്യധികം വര്‍ദ്ധിച്ചാല്‍ പ്രാണരക്ഷണത്തിനായിട്ട്‌ മോര്‌, തൈര്‍, തണുത്തവെള്ളം, ഉണങ്ങിവരണ്ട നാളികേരത്തിന്റെ ജലം, കഞ്ഞി ഇവയി ലേതെങ്കിലും കൊടുക്കാം. ഇതി വൈദ്യമനോരമായാം ചികിത്സ്ര്രമേ ഗ്രഹണീചികിത്സാക്രമോ നാമ ദ്ാദശോ/ദ്ധ്യായഃ ഇങ്ങനെ വൈദ്യമനോരമ എന്ന ചികിത്സാ്രമത്തില്‍ ഗ്രഹണിചികിത്സാക്രമം എന്ന പ്ര്തണ്ടാമദ്ധ്യായം കഴിഞ്ഞു.",പ്രതിശ്യായം,213,Vaidyamanorama — full-PDF disease/treatment extraction
dt_023,disease_treatment_qa,സന്നിപാതം ബാധിച്ചാൽ ഗ്രന്ഥപ്രകാരം എന്ത് ചികിത്സയാണ് ചെയ്യേണ്ടത്?,"ങ്ങാക്കിഴങ്ങ്‌ ഇവ അരച്ചു മുല പ്ലാലും കരിമ്പിന്‍നീരുംകുടി യോജിപ്പിച്ച്‌ അതില്‍ കലക്കി അരിച്ച്‌ പഞ്ചസാരയും തേനും ചേര്‍ത്തു നസ്യം ചെയ്താല്‍ പെട്ടെന്നുണ്ടായ ഉന്മാദം ശമിക്കും. ത്ര്യൂഷണാദി നസ്യം-- ത്യൂഷണം നാഗകുസുമം സൈന്ധവം സമഭാഗികം കഫോത്ഥസന്നിപാതേഷു സ്തന്യേന സഹ യോജയേല്‍. 91 സാരം - ചുക്കു മുളകു തിപ്പലി, നാഗപ്പുവ്‌, ഇന്തുപ്പ്‌ ഇവ സമാംശമായി എടുത്തു മുലപ്പാലില്‍ അരച്ച്‌ അരിച്ചതിനുശേഷം നസ്യം ചെയ്യുക. കഫജമായ സന്നിപാതം ശമിക്കും. ദേവദാര്‍വാദി-- ദേവതാരു നതം കുഷ്ഠം മധുകം ചന്ദനദ്വയം പിഷ്ട്വാ സ്തന്യേന ലുളിതം വാതസന്നികുലാന്തകം. 92 സാരം - ദേവതാരം, തകരം, കൊട്ടം, ഇരട്ടിമധുരം, ചന്ദനം, രക്തചന്ദനം ഇവ മുലപ്പാലില്‍ അരച്ച്‌ അതുകൊണ്ടു നസ്യം ചെയ്യുക. വാതജമായ സന്നിപാതം ശമിക്കും. കാലാശ്ൃംഗാദി- കാലാശ്ൃംഗേണ രുദ്രാക്ഷം ൨ ശാരിബാബ്ദലാജൈഃ (ഖ)",സന്നിപാതം,33,Vaidyamanorama — full-PDF disease/treatment extraction
dt_024,disease_treatment_qa,വിഷം രോഗാവസ്ഥയിൽ ഉപയോഗിക്കേണ്ട ഔഷധപ്രയോഗം ഏതാണ്?,"വേര്‍, കരി ഞ്ജീരകം, നറുനീണ്ടിക്കിഴങ്ങ്‌, ചന്ദനം, കൊട്ടം, ഇന്തുപ്പ്‌, ചുക്ക്‌, മുളക്‌, തിപ്പലി, വയമ്പ്‌ ഇവ കല്ക്കമായി ആടലോടകത്തിലനിരില്‍ അരച്ചു ചേര്‍ത്ത്‌ എണ്ണ കാച്ചി യെടുത്ത്‌ അത്‌ സേവിക്കുകയോ അതുകൊണ്ട്‌ തേച്ചുകുളിക്കുകയോ നസ്യം ചെയ്യു കരയോ സന്ധികളിലും നഖത്തിന്റെ അറ്റത്തും തേയ്ക്കുകയോ ചെയ്താല്‍ സകല സന്നിപാതജ്വരം, പക്ഷാഘാതം, അര്‍ദ്ദിതം, ബാഹ്യായാമം അന്തരായാമം മുതലായ വാതരോഗം, ഭൂതാദിഗ്രഹബാധ, അപസ്മാരം, വിഷം, ഉന്മാദം, വിഷമജ്വരം ഇവ ശമിക്കും. ഈ തൈലം വളരെ വിര്യമുള്ളതും രഹസ്യവും ഉത്തമവും അശ്ധിനിദേ വന്മാരാല്‍ നിര്‍മ്മിതവും സന്നിപാതാന്തകം എന്നു പേരോടുകുടിയതും ആകുന്നു. (ഈ എണ്ണയ്ക്ക്‌ ഉപദേശമനുസരിച്ച്‌ കഷായത്തില്‍, കരിനൊച്ചിയില, കുപ്പമഞ്ഞള്‍, പ്രസാരണി, കുറുന്തോട്ടിവേര്‍, ആവണക്കിന്‍വേര്‍ ഇവയും എണ്ണയോളം പാലും കൂട്ടണം. ഇതു ചിക്കണ(മെഴുകു) പാകത്തില്‍ അരിച്ചു ചീനബ്ഭരണിയില്‍ വീത്തി കെട്ടി നെല്ലില്‍ പുത്തി നാല്പതു ദിവസം കഴിഞ്ഞാല്‍ എടുത്തു സന്ധികളിലും നഖാന്തങ്ങളിലും തേച്ചുകൊള്ളണം). സഹദേവീതൈലം- സഹദേവീരസേ തൈലം പചേല്‍ പഞ്ചഗുണേ ഭിഷക്‌, ഷഡംഗകല്ക്കം സക്ഷീരമഭ്യംഗാജ്ജരനാശനം. 108 സാരം - എണ്ണയുടെ അഞ്ചിരട്ടി പുവങ്കുറുന്തലിന്റെ നീരില്‍ ഷഡംഗം (മുത്ത ്ങാക്കിഴങ്ങ്‌, ചന്ദനം, ചുക്ക്‌, ഇരുവേലി, പര്‍പ്പടകപ്പുള്ട്‌, രാമച്ചം) കല്ക്ക",വിഷം,36,Vaidyamanorama — full-PDF disease/treatment extraction
dt_025,disease_treatment_qa,ഉദരം ചികിത്സയ്ക്കായി ഈ ഗ്രന്ഥം നിർദ്ദേശിക്കുന്ന മാർഗം എന്താണ്?,"ഭൃഷ്ടം യമകേ ലവണാമ്പിതം ഹൃല്‍പാര്‍ശ്വയോനിശുലേഷു ഖാദേല്‍ ഗുന്മോദരേഷു ച. 38 സാരം - പഞ്ചകോലം (തിപ്പലി, കാട്ടുതിപ്പലിവേര്‍, കാട്ടുമുളകിന്‍വേര്‍, കൊടു വേലിക്കിഴങ്ങ്‌, ചുക്ക്‌) കച്ചോലം, കടുക്കാത്തോട്‌, ശര്‍ക്കര, നിര്‍മാതളത്തിന്‍വേര്‍, പുഷ്കരമൂലം ഇവ വാരുണിമദ്യത്തില്‍ അരച്ചു കലക്കി കുറച്ച്‌ ഇന്തുപ്പും ചേര്‍ത്ത്‌ എണ്ണയും നെയ്യും സമം ചേര്‍ത്തതില്‍ വറത്തു സേവിക്കുക. ഹൃദയശുലം, പാര്‍ശ്വ ശൂലം, യോനിശുലം, ഗുന്മം, ഉദരം ഇവ ശമിക്കും. ലഘുപഞ്ചമുലാദി ജലപാനം-- ലഘുനാ പഞ്ചമൂലേന ശുണ്ധ്യാ വാ സാധിതം ജലം വാരുണീം ദധിമണ്ഡം വാ ധാന്യാമൂം വാ പിബേല്‍ തൃഷി. 39 സാരം - ലഘുപഞ്ചമുലംകൊണ്ടോ (ഓരില, മൂവില, കറുത്തചുണ്ട, വെളുത്ത ചുണ്ട, ഞെരിഞ്ഞില്‍) ചുക്കുകൊണ്ടോ ഉണ്ടാക്കിയ കഷായമോ വാരുണി മദ്യമോ തൈരിന്‍തെളിയോ കാടിയോ കുടിക്കുക. വാതഹ്ൃ ദ്രോഗത്താല്‍ ഉണ്ടായ തണ്ണീര്‍ദാഹം ശമിക്കും. മഹാസ്‌നേഹം- രാസ്നാജീവകജിീവന്തീ- ബലാവ്യാര്ലീപുനര്‍ന്നവൈഃ ഭാര്‍ങ്ഗീസ്ഥിരാവചാവ്യോഷൈ-",ഉദരം,147,Vaidyamanorama — full-PDF disease/treatment extraction
dt_026,disease_treatment_qa,പിത്തരോഗം എന്ന രോഗത്തിന് ഗ്രന്ഥത്തിൽ നിർദ്ദേശിക്കുന്ന ചികിത്സ എന്താണ്?,"വ, പുനര്‍മ്മുരിങ്ങ, പേച്ചുര, ശീതവി ര്യങ്ങളായ അന്നപാനങ്ങള്‍ ഇവയും രക്തപിത്തരോഗിക്ക്‌ പത്ഥ്യങ്ങളാകുന്നു. വാശാപ്രയോഗം-- ബഹുപ്രകാരൈരുപസേവ്യമാനാ ക്ഷയദ്രാമ്പിതാ രക്തജയായ വാശാ സത്യം സമര്‍ത്ഥാ ജഗതാം സവിത്രീ യഥൈവ സംസാരജയായ ഗൌരീ. 56 സാരം - ആടലോടകം കഷായം വച്ചോ ഇടിച്ചുപിഴിഞ്ഞ്‌ നീരെടുത്തോ പല പ്രകാരത്തില്‍ തേന്‍ ചേര്‍ത്ത്‌ ഉപയോഗിച്ചാല്‍, ്രൈലോക്യമാതാവായ ശ്രിപാര്‍വ തിയുടെ സേവകൊണ്ട്‌ സംസാരം നശിക്കുന്നതുപോലെ രക്തപിത്തരോഗം നിശ്ച യമായും ശമിക്കും. രക്തപിത്തോപ്രദവങ്ങള്‍-- ദൌര്‍ബല്യം ശ്വാസകാസഈ ജ്വരവമഥുമദാഃ പാണ്ഡുതാ ദാഹമോഹയ ഭക്താശ്രദ്ധാ//വിപാകോ ഹൃദയഗുദരുജോ- പ്രദവാ രക്തപിത്തേ; യല്‍കൃഷ്ണം യച്ച നീലം ഭൃശമതി കുൂണപം രോമകൂപൈഃ സ്രുതം യല്‍ തദ്വര്‍ജ്ജ്യം വേഗവദ്യല്‍ സുരപതിധനുഷാ യച്ച തുല്യം വിഭാതി. 7 സാരം - ബലക്കുറവ്‌, വായുമൂട്ടല്‍, ചുമ, പനി, ഛര്‍ദ്ദി, മദം, ശരീരത്തിനു പാണ്ഡു ത്വം, സര്‍വാംഗസന്താപം, മോഹാലസ്യം, അന്നത്തില്‍ ശ്രദ്ധയില്ലായ്ക, ദഹനക്കേ ട്‌, ഹൃദയം, ഗുദം ഈ സ്ഥാനങ്ങളില്‍ വരുന്ന വേദന ഇവ രക്തപിത്തത്തില്‍ ഉണ്ടാ കുന്ന ഉപ്രദവരോഗങ്ങളാകുന്നു. കറുത്തനിറത്തിലും നീലനിറത്തിലും ശവഗന്ധ ത്തോടുകുടിയും രോമകുപങ്ങളില്‍കൂടി ശ്രവിക്കുന്നതും വളരെ വേഗങ്ങളോടുകു ടിയതും ഇന്ദ്രധനുസ്സിന്റെ നിറത്തോടു തുല്യമായും ഇരിക്കുന്ന രക്തപിത്തം അചി കിത്സ്യമാക",പിത്തരോഗം,74,Vaidyamanorama — full-PDF disease/treatment extraction
dt_027,disease_treatment_qa,കഫരോഗം രോഗത്തിന്റെ ചികിത്സയായി ഗ്രന്ഥം എന്താണ് പറയുന്നത്?,"േവിച്ചാല്‍ അപക്വമായ ശോഫം പെട്ടെന്നു ശമിക്കും. പത്ഥ്യാപുനര്‍ന്നവാദി കഷായം-- പത്ഥ്യാപുനര്‍ന്നവമഹൌഷധഭ്രദദാരു-- ക്വാഥം പിബേല്‍ സുഖജലേന തു കല്ക്കിതം വാ ശോഷാഗ്നിമാന്ദ്യഗുദകീലഭഗന്ദരേഷു, സപ്ലീഹപാണ്ഡുജഠരോര്‍ദ്വകഫാമയേഷു. 13 സാരം - കടുക്കാത്തോട്‌, തഴുതാമവേര്‍, ചുക്ക്‌, ദേവതാരം ഇവ കഷായം വച്ചോ അരച്ചു ചുടവെള്ളത്തില്‍ കലക്കിയോ സേവിച്ചാല്‍ ശോഷം, അഗ്നിമാന്ദ്യം, അര്‍ശ സ്സ്‌, ഭഗന്ദരം, പ്ലീഹരോഗം, പാണ്ഡുരോഗം, മഹോദരം, കഫരോഗം ഇവ ശമിക്കും. അജാജ്യാദി ചൂര്‍ണ്ണം-- അജാജിപാഠാഘനപഞ്ചകോല- വ്യാരഘീരജനൃസ്സുഖതോയപീതാഃ ശോഫം ത്രിദോഷം ചിരജം പ്രവൃദ്ധം നിഘ്നന്തി ഭൂനിംബമഹൌഷധേ ച. [1 സാരം - ജീരകം, പാടക്കിഴങ്ങ്‌, മുത്തങ്ങാക്കിഴങ്ങ്‌, പഞ്ചകോലം (തിപ്പലി, കാട്ടു തിപ്പുലിവേര്‍, കാട്ടുമുളകിന്‍വേര്‍, കൊടുവേലിക്കിഴങ്ങ്‌, ചുക്ക്‌) ചെറുവഴുതിനവേര്‍, മഞ്ഞള്‍ ഇവയോ പുത്തരിച്ചുണ്ടവേരും ചുക്കും കൂടിയോ പൊടിച്ചു ചുടുവെള്ള ത്തില്‍ കലക്കി സേവിച്ചാല്‍ മുന്നു ദോഷം കോപിച്ചുണ്ടായതും കാലപ്പഴക്കം ചെന്നതും വര്‍ദ്ധിച്ചതും ആയ ശോഫം ശമിക്കും. ദശമൂലതൈലം-- ദശമൂലകഷായേണ പിഷ്ടേന സുരദാരുണാ തൈലം പ്രസിദ്ധം ശ്വയഥൌ പഠനാഭ്യംഗേ പ്രശസ്യതേ. നി സാരം - ദശമൂലം കഷായം വച്ച്‌ അതില്‍ ദേവതാരം അരച്ചു കലക്കി എണ്ണ കാച്ചി എടുത്തു ആ എണ്ണ സേവിക്കുകയോ അതുകൊണ്ട്‌ തേച്ചു കുളിക്കുകയോ ചെയ്യുന്നത്",കഫരോഗം,294,Vaidyamanorama — full-PDF disease/treatment extraction
dt_028,disease_treatment_qa,ജ്വരം ബാധിച്ചാൽ ഗ്രന്ഥപ്രകാരം എന്ത് ചികിത്സയാണ് ചെയ്യേണ്ടത്?,"ജരചികിത്സാ്രമം 13 ലംഘനനിഷേധം-- ശുദ്ധവാതക്ഷയാഗന്തു ജീര്‍ണ്ണജ്രിഷു ലംഘനം നേഷ്യതേ തേഷു ഹി ഹിതം ശമനം യന്ന കര്‍ശനം ടട സാരം - കേവലവാതം കൊണ്ടും ധാതുക്ഷയം കൊണ്ടും ഉള്ള ജ്വരം ആഗ ത്തുകജ്ചരം ജീര്‍ണ്ണജ്വരം (പഴകിയ പനി) ഇവയുളളവര്‍ക്ക്‌ ഉപവാസം ഹിതമല്ല. അവര്‍ക്കു കര്‍ശനമല്ലാതുള്ള (ചടപ്പിക്കാതെയുള്ള) ശമന്രകിയ ചെയ്തുകൊള്ള ണം. സാമജ്വരലക്ഷണം-- ജ്വരോപ്രദവതീക്ഷ്ണത്വമഗ്ലാനിര്‍ബ്ബഹുമുധ്രതാ ന പ്രവൃത്തിര്‍ന്ന വിഡ്ജീര്‍ണ്ണാ ന ക്ഷുത്സാമജ്വരാകൃതിഃ 6 ഇതി സാമജ്വരാകൃത്യാ ജാനീയാദവിശോഷിതം സാരം - ജ്വരോപ്രദവങ്ങളുടെ ആധിക്യം, ക്ഷീണമില്ലായ്ക, മൂത്രം ധാരാളം പോവുക, മലം പോകാതെയും ദഹിക്കാതെയുമിരിക്ക, വിശപ്പില്ലായ്‌ക ഇവ ആമ ത്തോടുകുടിയ ജ്വരത്തിന്റെ ലക്ഷണങ്ങളാകുന്നു. ഇങ്ങനെയുള്ള സാമജ്ചരലക്ഷ ണം കൊണ്ട്‌ അവിശോഷിതനെന്ന്‌ (ലംഘനം ശരിയാവാതെയുള്ളവനെന്ന്‌) അറി യണം. ശമനരുപമായ ലംഘനത്തില്‍ വെച്ചു ശ്രേഷ്ഠമായ ഉപവാസം ചെയ്തിട്ടും ആമജ്വരലക്ഷണമുണ്ടായിരുന്നാല്‍ ദിവിധോപ്രകമണീയത്തില്‍ വിധിച്ചിരിക്കുന്ന ശോധനരുപമായ ല",ജ്വരം,13,Vaidyamanorama — full-PDF disease/treatment extraction
dt_029,disease_treatment_qa,പാണ്ഡു രോഗാവസ്ഥയിൽ ഉപയോഗിക്കേണ്ട ഔഷധപ്രയോഗം ഏതാണ്?,"്ങളാകുന്നു. വാശാപ്രയോഗം-- ബഹുപ്രകാരൈരുപസേവ്യമാനാ ക്ഷയദ്രാമ്പിതാ രക്തജയായ വാശാ സത്യം സമര്‍ത്ഥാ ജഗതാം സവിത്രീ യഥൈവ സംസാരജയായ ഗൌരീ. 56 സാരം - ആടലോടകം കഷായം വച്ചോ ഇടിച്ചുപിഴിഞ്ഞ്‌ നീരെടുത്തോ പല പ്രകാരത്തില്‍ തേന്‍ ചേര്‍ത്ത്‌ ഉപയോഗിച്ചാല്‍, ്രൈലോക്യമാതാവായ ശ്രിപാര്‍വ തിയുടെ സേവകൊണ്ട്‌ സംസാരം നശിക്കുന്നതുപോലെ രക്തപിത്തരോഗം നിശ്ച യമായും ശമിക്കും. രക്തപിത്തോപ്രദവങ്ങള്‍-- ദൌര്‍ബല്യം ശ്വാസകാസഈ ജ്വരവമഥുമദാഃ പാണ്ഡുതാ ദാഹമോഹയ ഭക്താശ്രദ്ധാ//വിപാകോ ഹൃദയഗുദരുജോ- പ്രദവാ രക്തപിത്തേ; യല്‍കൃഷ്ണം യച്ച നീലം ഭൃശമതി കുൂണപം രോമകൂപൈഃ സ്രുതം യല്‍ തദ്വര്‍ജ്ജ്യം വേഗവദ്യല്‍ സുരപതിധനുഷാ യച്ച തുല്യം വിഭാതി. 7 സാരം - ബലക്കുറവ്‌, വായുമൂട്ടല്‍, ചുമ, പനി, ഛര്‍ദ്ദി, മദം, ശരീരത്തിനു പാണ്ഡു ത്വം, സര്‍വാംഗസന്താപം, മോഹാലസ്യം, അന്നത്തില്‍ ശ്രദ്ധയില്ലായ്ക, ദഹനക്കേ ട്‌, ഹൃദയം, ഗുദം ഈ സ്ഥാനങ്ങളില്‍ വരുന്ന വേദന ഇവ രക്തപിത്തത്തില്‍ ഉണ്ടാ കുന്ന ഉപ്രദവരോഗങ്ങളാകുന്നു. കറുത്തനിറത്തിലും നീലനിറത്തിലും ശവഗന്ധ ത്തോടുകുടിയും രോമകുപങ്ങളില്‍കൂടി ശ്രവിക്കുന്നതും വളരെ വേഗങ്ങളോടുകു ടിയതും ഇന്ദ്രധനുസ്സിന്റെ നിറത്തോടു തുല്യമായും ഇരിക്കുന്ന രക്തപിത്തം അചി കിത്സ്യമാകുന്നു. രക്തപിത്തപ്രശാന്ത്യര്‍ത്ഥം ഗണേശം ച പ്രപൂജയേല്‍. ഇതി വൈദ്യമനോരമായാം ചികിത്സ്ര്രമേ",പാണ്ഡു,74,Vaidyamanorama — full-PDF disease/treatment extraction
dt_030,disease_treatment_qa,കുഷ്ഠം ചികിത്സയ്ക്കായി ഈ ഗ്രന്ഥം നിർദ്ദേശിക്കുന്ന മാർഗം എന്താണ്?,"നീരുംകുടി യോജിപ്പിച്ച്‌ അതില്‍ കലക്കി അരിച്ച്‌ പഞ്ചസാരയും തേനും ചേര്‍ത്തു നസ്യം ചെയ്താല്‍ പെട്ടെന്നുണ്ടായ ഉന്മാദം ശമിക്കും. ത്ര്യൂഷണാദി നസ്യം-- ത്യൂഷണം നാഗകുസുമം സൈന്ധവം സമഭാഗികം കഫോത്ഥസന്നിപാതേഷു സ്തന്യേന സഹ യോജയേല്‍. 91 സാരം - ചുക്കു മുളകു തിപ്പലി, നാഗപ്പുവ്‌, ഇന്തുപ്പ്‌ ഇവ സമാംശമായി എടുത്തു മുലപ്പാലില്‍ അരച്ച്‌ അരിച്ചതിനുശേഷം നസ്യം ചെയ്യുക. കഫജമായ സന്നിപാതം ശമിക്കും. ദേവദാര്‍വാദി-- ദേവതാരു നതം കുഷ്ഠം മധുകം ചന്ദനദ്വയം പിഷ്ട്വാ സ്തന്യേന ലുളിതം വാതസന്നികുലാന്തകം. 92 സാരം - ദേവതാരം, തകരം, കൊട്ടം, ഇരട്ടിമധുരം, ചന്ദനം, രക്തചന്ദനം ഇവ മുലപ്പാലില്‍ അരച്ച്‌ അതുകൊണ്ടു നസ്യം ചെയ്യുക. വാതജമായ സന്നിപാതം ശമിക്കും. കാലാശ്ൃംഗാദി- കാലാശ്ൃംഗേണ രുദ്രാക്ഷം ൨ ശാരിബാബ്ദലാജൈഃ (ഖ)",കുഷ്ഠം,33,Vaidyamanorama — full-PDF disease/treatment extraction
dt_031,disease_treatment_qa,കാസം എന്ന രോഗത്തിന് ഗ്രന്ഥത്തിൽ നിർദ്ദേശിക്കുന്ന ചികിത്സ എന്താണ്?,"ട്പോട്ടുള്ള രക്തപിത്തം ശമിക്കും. ദുരാലഭായാഃ ക്വാഥസ്തു രക്തപിത്തനിബര്‍ഹണഃ. 3 സാരം - കൊടിത്തുവവേരുകൊണ്ടുള്ള കഷായം രക്തപിത്തഹരമാണ്‌. വാശാദി-- വാശാച്ഛിന്നരുഹാക്വാഥഃ സകൃഷ്ണഃ സസിതാമധുഭ ശോണിതോദ്ഗാരഹൃല്‍കാസക്ഷയഘ്നഃ സ്വരകൃല്‍ പരം. ദക സാരം - ആടലോടകത്തിന്‍വേര്‍, അമൃതു പടം കളഞ്ഞ്‌ ഇവകൊണ്ടുള്ള കഷായം തിപ്പലിപ്പൊടിയും പഞ്ചസാരയും തേനും മേമ്പൊടി ചേര്‍ത്തു സേവിച്ചാല്‍ രക്തത്തിന്റെ ചുവയോടുകുടിയ തികട്ടല്‍, ഹൃദ്രോഗം, കാസം, ക്ഷയം ഇവയെ ഹനി ക്കുന്നതും ഏറ്റവും സ്വരത്തിനു ശുദ്ധിയെ ഉണ്ടാക്കുന്നതുമാകുന്നു. ചന്ദനാദി-- ക്വാഥശ്ചന്ദനവിലാബ്ദപര്‍പ്പടോശീരസാധിതഃ ആശു പിത്താസൃജം ഹന്യാദൂര്‍ദ്ധ്ഗം ചാപ്യധോഗതം. 35 സാരം - ചന്ദനം, കുവളത്തിന്‍വേരിന്മേല്‍തൊലികളഞ്ഞ്‌, മുത്തങ്ങാക്കിഴങ്ങ്‌ മൊരികളഞ്ഞ്‌, പര്‍പ്പടകപ്പിള്ല്‌, രാമച്ചം ഇവ കഷായം വച്ചു സേവിക്കുക. മേല്പോട്ടും കരിട്പോട്ടും ഉള്ള രക്തപിത്തം വേഗത്തില്‍ ശമിക്കും. വടശ്യംഗാദി--. വടശ്യംഗോത്പലമധുക- ദ്രാക്ഷാമോചേക്ഷുകാഷ്മര്യഃ പത്മജകേസരസഹിതൈഃ സസിതാമധു രക്തജിത്പാക്യം. 36 സാരം - പേരാലിന്‍മൊട്ട്‌, ചെങ്ങഴിനീര്‍ക്കിഴങ്ങ്‌, ഇരട്ടിമധുരം, മുന്തിരിങ്ങാപ്പ ൭൦ കുരുകളഞ്ഞ്‌, ഇലവിന്‍പശ, നീലക്കരിമ്പിന്‍വേര്‍, കുമ്പിളിന്‍വേരിന്മേല്‍തൊലി കളഞ്ഞ്‌, താമരയല്ലി ഇവ കഷായം വച്ച്‌ ആറിയാല്‍ പഞ്ചസാരയും തേനും മേമ്പൊ ട",കാസം,69,Vaidyamanorama — full-PDF disease/treatment extraction
