id,question,answer,relevant_passage_id,source_page,concept,query_type,difficulty
VM_IR_029,സാമജ്വരത്തിൽ വിശപ്പില്ലായ്മ ഉണ്ടാകുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,വിശപ്പില്ലായ്മ സാമജ്വരവുമായി ബന്ധപ്പെട്ട ലക്ഷണമായി പറയുന്നു.,VM_JW_P13_02,13,സാമജ്വരം / അരുചി,disease_identification_retrieval,easy
VM_IR_030,ജ്വരത്തിലെ ലഘനം ശരിയായി ചെയ്യുന്നതിലൂടെ ദോഷം കുറയുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,ഉപവാസം വഴി ദോഷം ക്ഷയിക്കുകയും തുടർന്ന് അഗ്നി ഉണരുകയും ചെയ്യുന്നതായി വിവരിക്കുന്നു.,VM_JW_P12_04,12,ലഘനം / ദോഷക്ഷയം,concept_retrieval,medium
VM_IR_031,ജ്വരരോഗിയുടെ ചികിത്സയിൽ രോഗബലം പരിഗണിക്കേണ്ടതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,ജ്വരബാധിതനെ ചികിത്സിക്കുമ്പോൾ രോഗിയുടെ ബലം പരിഗണിക്കണമെന്ന് നിർദേശിക്കുന്നു.,VM_JW_P12_03,12,രോഗിബലം,disease_concept_retrieval,easy
VM_IR_032,ജ്വരത്തിൽ വാതാദി ദോഷങ്ങൾ ജഠരാഗ്നിയെ ബാധിക്കുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,ദോഷങ്ങൾ ആമാശയത്തിലെത്തി ജഠരാഗ്നിയെ നശിപ്പിച്ച് സ്രോതസ്സുകൾ അടച്ച് ജ്വരം ഉണ്ടാക്കുന്നതായി വിവരിക്കുന്നു.,VM_JW_P12_01,12,ജഠരാഗ്നി / ജ്വരോത്പത്തി,disease_concept_retrieval,hard
VM_IR_033,ജ്വരത്തിൽ സ്രോതസ്സുകൾ അടയുന്നതുമായി രോഗോത്പത്തിയെ ബന്ധിപ്പിക്കുന്ന ഭാഗം കണ്ടെത്തുക.,ദോഷങ്ങൾ സ്രോതസ്സുകൾ അടച്ചതിന്റെ ഫലമായി ജ്വരം ഉണ്ടാകുന്നതായി പറയുന്നു.,VM_JW_P12_01,12,സ്രോതസ്സ്‌രോധം,disease_concept_retrieval,hard
VM_IR_034,ജ്വരത്തിന്റെ പൂർവരൂപങ്ങളിൽ ചികിത്സ തുടങ്ങുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,ജ്വരത്തിന്റെ പൂർവരൂപങ്ങളിലും ആരംഭത്തിലും രോഗിയുടെ ബലം അനുസരിച്ച് ഉപവാസം ചെയ്യണമെന്ന് പറയുന്നു.,VM_JW_P12_02,12,ജ്വരപൂർവരൂപം,disease_concept_retrieval,medium
VM_IR_035,ജ്വരത്തിൽ ഉപവാസം ചെയ്യുമ്പോൾ ദോഷങ്ങൾ പാകമാകുന്നതുവരെ തുടരുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,ദോഷങ്ങൾ പാകമാകുന്നതുവരെ ഉപവാസം തുടരുന്നതിനെക്കുറിച്ച് നിർദേശം നൽകുന്നു.,VM_JW_P12_03,12,ലഘനം / ദോഷപാകം,concept_retrieval,hard
VM_IR_036,ജ്വരത്തിൽ ലഘിതാവസ്ഥ തിരിച്ചറിയാൻ തൃഷ്ണയും ദാഹവും കുറയുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,ലഘനത്തിനു ശേഷം തൃഷ്ണയും ദാഹവും നിയന്ത്രിതമാകുന്നതും പുരോഗതിയുടെ ലക്ഷണമായി വിവരിക്കുന്നു.,VM_JW_P12_04,12,തൃഷ്ണ / ദാഹം,symptom_concept_retrieval,medium
VM_IR_037,ജ്വരത്തിൽ ശരീരബലം വർധിക്കുന്നതിനെ ലഘിതലക്ഷണമായി പറയുന്ന ഭാഗം കണ്ടെത്തുക.,ലഘനത്തിനു ശേഷം ശരീരബലം വീണ്ടെടുക്കുന്നത് ലഘിതാവസ്ഥയുടെ ലക്ഷണമായി പറയുന്നു.,VM_JW_P12_04,12,ശരീരബലം,symptom_concept_retrieval,easy
VM_IR_038,ജ്വരത്തിൽ ഓജസ് നിലനിൽക്കുന്നതിനെക്കുറിച്ചുള്ള ലഘിതലക്ഷണ ഭാഗം കണ്ടെത്തുക.,ലഘിതാവസ്ഥയിൽ ഓജസും ആരോഗ്യസൂചകമായ മറ്റു ലക്ഷണങ്ങളും ഉണ്ടാകുന്നതായി വിവരിക്കുന്നു.,VM_JW_P12_04,12,ഓജസ് / ലഘിതലക്ഷണം,concept_retrieval,hard
VM_IR_039,ജ്വരത്തിൽ ഹൃദയശുദ്ധിയും ഉദ്ഗാരശുദ്ധിയും ഉണ്ടാകുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,ഹൃദയശുദ്ധിയും ഉദ്ഗാരശുദ്ധിയും ലഘനത്തിനു ശേഷമുള്ള ലക്ഷണങ്ങളിൽ ഉൾപ്പെടുന്നു.,VM_JW_P13_02,13,ഹൃദയശുദ്ധി / ഉദ്ഗാരശുദ്ധി,symptom_concept_retrieval,hard
VM_IR_040,ജ്വരത്തിൽ ഇന്ദ്രിയങ്ങൾ സാധാരണമായി പ്രവർത്തിക്കുന്നത് ലഘിതലക്ഷണമാണെന്ന് പറയുന്ന ഭാഗം കണ്ടെത്തുക.,ഇന്ദ്രിയങ്ങൾ നിർവ്യാധിയായി പ്രവർത്തിക്കുന്നത് ലഘിതാവസ്ഥയുടെ ലക്ഷണമായി വിവരിക്കുന്നു.,VM_JW_P13_02,13,ഇന്ദ്രിയപ്രവർത്തനം,symptom_concept_retrieval,medium
VM_IR_041,പിത്തജ്വരത്തിന് പൂർവാഹ്ണത്തിൽ കഷായം നൽകുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,പിത്തജ്വരത്തിൽ പൂർവാഹ്ണത്തിലാണ് കഷായം നൽകേണ്ടതെന്ന് പറയുന്നു.,VM_JW_P18_01,18,പിത്തജ്വരം,disease_concept_retrieval,easy
VM_IR_042,കഫജ്വരത്തിന് മധ്യാഹ്നത്തിൽ കഷായം നൽകുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,കഫജ്വരത്തിൽ മധ്യാഹ്നത്തിലാണ് കഷായം നൽകേണ്ടതെന്ന് പറയുന്നു.,VM_JW_P18_01,18,കഫജ്വരം,disease_concept_retrieval,easy
VM_IR_043,വാതജ്വരത്തിന് അപരാഹ്ണത്തിൽ കഷായം നൽകുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,വാതജ്വരത്തിൽ അപരാഹ്ണത്തിലാണ് കഷായം നൽകേണ്ടതെന്ന് പറയുന്നു.,VM_JW_P18_01,18,വാതജ്വരം,disease_concept_retrieval,easy
VM_IR_044,ദോഷങ്ങൾ പചിക്കാത്തപ്പോൾ പാചനകഷായം ഉപയോഗിക്കുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,ദോഷങ്ങൾക്ക് പാകം വരാത്തപ്പോൾ പാചനകഷായങ്ങൾ പ്രയോഗിക്കണമെന്ന് പറയുന്നു.,VM_JW_P18_02,18,പാചനം / ദോഷപാകം,treatment_concept_retrieval,medium
VM_IR_045,ജ്വരത്തിൽ പാചനകഷായവും ശമനകഷായവും തമ്മിലുള്ള ഉപയോഗത്തെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,ദോഷപാകാവസ്ഥയും ജ്വരത്തിന്റെ ഘട്ടവും അനുസരിച്ച് പാചനകഷായമോ ശമനകഷായമോ പ്രയോഗിക്കുന്നതായി വിവരിക്കുന്നു.,VM_JW_P19_01,19,പാചനം / ശമനം,treatment_concept_retrieval,hard
VM_IR_046,നവജ്വരത്തിൽ വളരെ നേരത്തെ ഔഷധം നൽകുന്നതിനെക്കുറിച്ചുള്ള മുന്നറിയിപ്പ് കണ്ടെത്തുക.,നവജ്വരത്തിൽ വളരെ നേരത്തെ പാചനമോ ശമനമോ നൽകുന്നത് ദോഷകോപത്തിന് കാരണമാകാമെന്ന് പറയുന്നു.,VM_JW_P19_01,19,നവജ്വരം / ചികിത്സാകാലം,disease_concept_retrieval,hard
VM_IR_047,അമൃതാദി കഷായം ജ്വരത്തിൽ പാചനത്തിന് ഉപയോഗിക്കുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,അമൃതാദി ദ്രവ്യങ്ങൾ ചേർന്ന കഷായം ജ്വരങ്ങളിൽ പാചനത്തിന് ഉത്തമമെന്ന് വിവരിക്കുന്നു.,VM_JW_P19_02,19,അമൃതാദി / പാചനം,treatment_concept_retrieval,medium
VM_IR_048,ജ്വരത്തോടൊപ്പം അരോചകം ഉണ്ടാകുമ്പോൾ ഉപയോഗിക്കുന്ന കഷായത്തെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,അമൃതാദി കഷായം ജ്വരത്തോടൊപ്പം അരോചകം പോലുള്ള അവസ്ഥകളിലും പ്രയോജനപ്പെടുന്നതായി വിവരിക്കുന്നു.,VM_JW_P19_02,19,ജ്വരം / അരോചകം,symptom_concept_retrieval,hard
VM_IR_049,തൃഷ്ണയും ദാഹവും കൂടുതലുള്ള ജ്വരരോഗിയെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,തൃഷ്ണയും ദാഹവും കൊണ്ട് പീഡിതനായ ജ്വരരോഗിക്ക് പ്രത്യേക കഷായപ്രയോഗം വിവരിക്കുന്നു.,VM_JW_P18_03,18,ജ്വരം / തൃഷ്ണ / ദാഹം,disease_identification_retrieval,medium
VM_IR_050,വാതജ്വരത്തിൽ സർവാംഗസന്താപവും വേദനയും കുറയ്ക്കുന്ന ചികിത്സയെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,"വാതജ്വരത്തിൽ സർവാംഗസന്ധിവേദന, തലവേദന, വിറയൽ, തൃഷ്ണ തുടങ്ങിയ ലക്ഷണങ്ങൾ കുറയ്ക്കുന്ന കഷായപ്രയോഗം വിവരിക്കുന്നു.",VM_JW_P23_01,23,വാതജ്വരം / ലക്ഷണങ്ങൾ,disease_identification_retrieval,hard
