case_id,input_text,disease_label,split,difficulty,source_page,source_basis,generation_type
T1_0028,"The clinical picture is mainly the bleeding may recur after settling, with additional features of digestive strength is poor and the bleeding is excessive.",Raktapitta,test,hard,62,"abnormal bleeding that may move upward through the eyes, nose, ears or mouth or downward through the lower passages; severe cases may be recurrent and associated with weak digestion",controlled paraphrase from source-derived profile
T1_0029,"The reported symptoms are multiple doshas may be involved, the bleeding is excessive, and bleeding may occur through the upper passages.",Raktapitta,test,hard,62,"abnormal bleeding that may move upward through the eyes, nose, ears or mouth or downward through the lower passages; severe cases may be recurrent and associated with weak digestion",controlled paraphrase from source-derived profile
T1_0030,"The presentation is suggestive of a disorder with abnormal bleeding is present, bleeding may occur through the upper passages, and the bleeding may recur after settling.",Raktapitta,test,hard,62,"abnormal bleeding that may move upward through the eyes, nose, ears or mouth or downward through the lower passages; severe cases may be recurrent and associated with weak digestion",controlled paraphrase from source-derived profile
T1_0031,"A patient presents with uterine bleeding occurs outside the expected time, the bleeding is excessive, and the blood may be yellow, hot and foul-smelling.",Asrigdara,train,easy,75,"abnormal uterine bleeding occurring outside the normal time, described as excessive or disturbed menstrual bleeding; the text differentiates Vata, Pitta and Kapha patterns by the character of the blood",controlled paraphrase from source-derived profile
T1_0032,"The main findings are the blood may appear frothy and dark, along with the blood may be yellow, hot and foul-smelling and the condition follows disturbed menstrual bleeding.",Asrigdara,train,easy,75,"abnormal uterine bleeding occurring outside the normal time, described as excessive or disturbed menstrual bleeding; the text differentiates Vata, Pitta and Kapha patterns by the character of the blood",controlled paraphrase from source-derived profile
T1_0033,"Clinical features include the blood may be pale, unctuous and stringy; the patient also has the condition follows disturbed menstrual bleeding and the bleeding is excessive.",Asrigdara,train,easy,75,"abnormal uterine bleeding occurring outside the normal time, described as excessive or disturbed menstrual bleeding; the text differentiates Vata, Pitta and Kapha patterns by the character of the blood",controlled paraphrase from source-derived profile
T1_0034,"The presentation is characterized by uterine bleeding occurs outside the expected time, with the bleeding is excessive and the blood may be yellow, hot and foul-smelling occurring together.",Asrigdara,train,easy,75,"abnormal uterine bleeding occurring outside the normal time, described as excessive or disturbed menstrual bleeding; the text differentiates Vata, Pitta and Kapha patterns by the character of the blood",controlled paraphrase from source-derived profile
T1_0035,"A case is described with the blood may appear frothy and dark. Additional findings are the blood may be yellow, hot and foul-smelling and the condition follows disturbed menstrual bleeding.",Asrigdara,train,easy,75,"abnormal uterine bleeding occurring outside the normal time, described as excessive or disturbed menstrual bleeding; the text differentiates Vata, Pitta and Kapha patterns by the character of the blood",controlled paraphrase from source-derived profile
T1_0036,"The patient reports the blood may be pale, unctuous and stringy and the condition follows disturbed menstrual bleeding, with the bleeding is excessive also present.",Asrigdara,train,medium,75,"abnormal uterine bleeding occurring outside the normal time, described as excessive or disturbed menstrual bleeding; the text differentiates Vata, Pitta and Kapha patterns by the character of the blood",controlled paraphrase from source-derived profile
T1_0037,"The dominant complaint is uterine bleeding occurs outside the expected time, accompanied by the bleeding is excessive and the blood may be yellow, hot and foul-smelling.",Asrigdara,train,medium,75,"abnormal uterine bleeding occurring outside the normal time, described as excessive or disturbed menstrual bleeding; the text differentiates Vata, Pitta and Kapha patterns by the character of the blood",controlled paraphrase from source-derived profile
T1_0038,"On assessment, the blood may appear frothy and dark is noted, together with the blood may be yellow, hot and foul-smelling and the condition follows disturbed menstrual bleeding.",Asrigdara,train,medium,75,"abnormal uterine bleeding occurring outside the normal time, described as excessive or disturbed menstrual bleeding; the text differentiates Vata, Pitta and Kapha patterns by the character of the blood",controlled paraphrase from source-derived profile
T1_0039,"The symptom pattern includes the blood may be pale, unctuous and stringy, the condition follows disturbed menstrual bleeding, and the bleeding is excessive.",Asrigdara,train,medium,75,"abnormal uterine bleeding occurring outside the normal time, described as excessive or disturbed menstrual bleeding; the text differentiates Vata, Pitta and Kapha patterns by the character of the blood",controlled paraphrase from source-derived profile
T1_0040,"A typical presentation may include uterine bleeding occurs outside the expected time, while the bleeding is excessive and the blood may be yellow, hot and foul-smelling are also observed.",Asrigdara,train,medium,75,"abnormal uterine bleeding occurring outside the normal time, described as excessive or disturbed menstrual bleeding; the text differentiates Vata, Pitta and Kapha patterns by the character of the blood",controlled paraphrase from source-derived profile
T1_0041,"The case shows the blood may appear frothy and dark; associated findings include the blood may be yellow, hot and foul-smelling and the condition follows disturbed menstrual bleeding.",Asrigdara,validation,hard,75,"abnormal uterine bleeding occurring outside the normal time, described as excessive or disturbed menstrual bleeding; the text differentiates Vata, Pitta and Kapha patterns by the character of the blood",controlled paraphrase from source-derived profile
T1_0042,"The patient has the blood may be pale, unctuous and stringy and the condition follows disturbed menstrual bleeding; another notable feature is that the bleeding is excessive.",Asrigdara,validation,hard,75,"abnormal uterine bleeding occurring outside the normal time, described as excessive or disturbed menstrual bleeding; the text differentiates Vata, Pitta and Kapha patterns by the character of the blood",controlled paraphrase from source-derived profile
T1_0043,"The clinical picture is mainly uterine bleeding occurs outside the expected time, with additional features of the bleeding is excessive and the blood may be yellow, hot and foul-smelling.",Asrigdara,test,hard,75,"abnormal uterine bleeding occurring outside the normal time, described as excessive or disturbed menstrual bleeding; the text differentiates Vata, Pitta and Kapha patterns by the character of the blood",controlled paraphrase from source-derived profile
T1_0044,"The reported symptoms are the blood may appear frothy and dark, the blood may be yellow, hot and foul-smelling, and the condition follows disturbed menstrual bleeding.",Asrigdara,test,hard,75,"abnormal uterine bleeding occurring outside the normal time, described as excessive or disturbed menstrual bleeding; the text differentiates Vata, Pitta and Kapha patterns by the character of the blood",controlled paraphrase from source-derived profile
T1_0045,"The presentation is suggestive of a disorder with the blood may be pale, unctuous and stringy, the condition follows disturbed menstrual bleeding, and the bleeding is excessive.",Asrigdara,test,hard,75,"abnormal uterine bleeding occurring outside the normal time, described as excessive or disturbed menstrual bleeding; the text differentiates Vata, Pitta and Kapha patterns by the character of the blood",controlled paraphrase from source-derived profile
T1_0046,"A patient presents with persistent cough is present, the cough is treated according to dosha pattern, and coughing is the main presenting complaint.",Kasa,train,easy,84,"cough, with the text treating different cough patterns according to the dominant dosha",controlled paraphrase from source-derived profile
T1_0047,"The main findings are the respiratory complaint is dominated by coughing, along with coughing is the main presenting complaint and persistent cough is present.",Kasa,train,easy,84,"cough, with the text treating different cough patterns according to the dominant dosha",controlled paraphrase from source-derived profile
T1_0048,Clinical features include the cough occurs as a distinct respiratory disorder; the patient also has persistent cough is present and the respiratory complaint is dominated by coughing.,Kasa,train,easy,84,"cough, with the text treating different cough patterns according to the dominant dosha",controlled paraphrase from source-derived profile
T1_0049,"The presentation is characterized by the cough is treated according to dosha pattern, with the respiratory complaint is dominated by coughing and the cough occurs as a distinct respiratory disorder occurring together.",Kasa,train,easy,84,"cough, with the text treating different cough patterns according to the dominant dosha",controlled paraphrase from source-derived profile
T1_0050,A case is described with coughing is the main presenting complaint. Additional findings are the cough occurs as a distinct respiratory disorder and the cough is treated according to dosha pattern.,Kasa,train,easy,84,"cough, with the text treating different cough patterns according to the dominant dosha",controlled paraphrase from source-derived profile
T1_0051,"The patient reports persistent cough is present and the cough is treated according to dosha pattern, with coughing is the main presenting complaint also present.",Kasa,train,medium,84,"cough, with the text treating different cough patterns according to the dominant dosha",controlled paraphrase from source-derived profile
T1_0052,"The dominant complaint is the respiratory complaint is dominated by coughing, accompanied by coughing is the main presenting complaint and persistent cough is present.",Kasa,train,medium,84,"cough, with the text treating different cough patterns according to the dominant dosha",controlled paraphrase from source-derived profile
T1_0053,"On assessment, the cough occurs as a distinct respiratory disorder is noted, together with persistent cough is present and the respiratory complaint is dominated by coughing.",Kasa,train,medium,84,"cough, with the text treating different cough patterns according to the dominant dosha",controlled paraphrase from source-derived profile
T1_0054,"The symptom pattern includes the cough is treated according to dosha pattern, the respiratory complaint is dominated by coughing, and the cough occurs as a distinct respiratory disorder.",Kasa,train,medium,84,"cough, with the text treating different cough patterns according to the dominant dosha",controlled paraphrase from source-derived profile
T1_0055,"A typical presentation may include coughing is the main presenting complaint, while the cough occurs as a distinct respiratory disorder and the cough is treated according to dosha pattern are also observed.",Kasa,train,medium,84,"cough, with the text treating different cough patterns according to the dominant dosha",controlled paraphrase from source-derived profile
T1_0056,The case shows persistent cough is present; associated findings include the cough is treated according to dosha pattern and coughing is the main presenting complaint.,Kasa,validation,hard,84,"cough, with the text treating different cough patterns according to the dominant dosha",controlled paraphrase from source-derived profile
T1_0057,The patient has the respiratory complaint is dominated by coughing and coughing is the main presenting complaint; another notable feature is that persistent cough is present.,Kasa,validation,hard,84,"cough, with the text treating different cough patterns according to the dominant dosha",controlled paraphrase from source-derived profile
T1_0058,"The clinical picture is mainly the cough occurs as a distinct respiratory disorder, with additional features of persistent cough is present and the respiratory complaint is dominated by coughing.",Kasa,test,hard,84,"cough, with the text treating different cough patterns according to the dominant dosha",controlled paraphrase from source-derived profile
T1_0059,"The reported symptoms are the cough is treated according to dosha pattern, the respiratory complaint is dominated by coughing, and the cough occurs as a distinct respiratory disorder.",Kasa,test,hard,84,"cough, with the text treating different cough patterns according to the dominant dosha",controlled paraphrase from source-derived profile
T1_0060,"The presentation is suggestive of a disorder with coughing is the main presenting complaint, the cough occurs as a distinct respiratory disorder, and the cough is treated according to dosha pattern.",Kasa,test,hard,84,"cough, with the text treating different cough patterns according to the dominant dosha",controlled paraphrase from source-derived profile
T1_0061,"A patient presents with hiccup is prominent, breathing is difficult, and chest/airway obstruction is present.",Hidhma-Shwasa,train,easy,105,hiccup and breathlessness associated with obstructed respiratory movement; the text relates them to similar causes and treatment and describes chest/airway obstruction,controlled paraphrase from source-derived profile
T1_0062,"The main findings are respiratory movement feels obstructed, along with chest/airway obstruction is present and the complaint is associated with disturbed Vata and Kapha movement.",Hidhma-Shwasa,train,easy,105,hiccup and breathlessness associated with obstructed respiratory movement; the text relates them to similar causes and treatment and describes chest/airway obstruction,controlled paraphrase from source-derived profile
T1_0063,Clinical features include hiccup and breathlessness occur together; the patient also has the complaint is associated with disturbed Vata and Kapha movement and breathing is difficult.,Hidhma-Shwasa,train,easy,105,hiccup and breathlessness associated with obstructed respiratory movement; the text relates them to similar causes and treatment and describes chest/airway obstruction,controlled paraphrase from source-derived profile
T1_0064,"The presentation is characterized by hiccup is prominent, with breathing is difficult and chest/airway obstruction is present occurring together.",Hidhma-Shwasa,train,easy,105,hiccup and breathlessness associated with obstructed respiratory movement; the text relates them to similar causes and treatment and describes chest/airway obstruction,controlled paraphrase from source-derived profile
T1_0065,A case is described with respiratory movement feels obstructed. Additional findings are chest/airway obstruction is present and the complaint is associated with disturbed Vata and Kapha movement.,Hidhma-Shwasa,train,easy,105,hiccup and breathlessness associated with obstructed respiratory movement; the text relates them to similar causes and treatment and describes chest/airway obstruction,controlled paraphrase from source-derived profile
T1_0066,"The patient reports hiccup and breathlessness occur together and the complaint is associated with disturbed Vata and Kapha movement, with breathing is difficult also present.",Hidhma-Shwasa,train,medium,105,hiccup and breathlessness associated with obstructed respiratory movement; the text relates them to similar causes and treatment and describes chest/airway obstruction,controlled paraphrase from source-derived profile
T1_0067,"The dominant complaint is hiccup is prominent, accompanied by breathing is difficult and chest/airway obstruction is present.",Hidhma-Shwasa,train,medium,105,hiccup and breathlessness associated with obstructed respiratory movement; the text relates them to similar causes and treatment and describes chest/airway obstruction,controlled paraphrase from source-derived profile
T1_0068,"On assessment, respiratory movement feels obstructed is noted, together with chest/airway obstruction is present and the complaint is associated with disturbed Vata and Kapha movement.",Hidhma-Shwasa,train,medium,105,hiccup and breathlessness associated with obstructed respiratory movement; the text relates them to similar causes and treatment and describes chest/airway obstruction,controlled paraphrase from source-derived profile
T1_0069,"The symptom pattern includes hiccup and breathlessness occur together, the complaint is associated with disturbed Vata and Kapha movement, and breathing is difficult.",Hidhma-Shwasa,train,medium,105,hiccup and breathlessness associated with obstructed respiratory movement; the text relates them to similar causes and treatment and describes chest/airway obstruction,controlled paraphrase from source-derived profile
T1_0070,"A typical presentation may include hiccup is prominent, while breathing is difficult and chest/airway obstruction is present are also observed.",Hidhma-Shwasa,train,medium,105,hiccup and breathlessness associated with obstructed respiratory movement; the text relates them to similar causes and treatment and describes chest/airway obstruction,controlled paraphrase from source-derived profile
T1_0071,The case shows respiratory movement feels obstructed; associated findings include chest/airway obstruction is present and the complaint is associated with disturbed Vata and Kapha movement.,Hidhma-Shwasa,validation,hard,105,hiccup and breathlessness associated with obstructed respiratory movement; the text relates them to similar causes and treatment and describes chest/airway obstruction,controlled paraphrase from source-derived profile
T1_0072,The patient has hiccup and breathlessness occur together and the complaint is associated with disturbed Vata and Kapha movement; another notable feature is that breathing is difficult.,Hidhma-Shwasa,validation,hard,105,hiccup and breathlessness associated with obstructed respiratory movement; the text relates them to similar causes and treatment and describes chest/airway obstruction,controlled paraphrase from source-derived profile
T1_0073,"The clinical picture is mainly hiccup is prominent, with additional features of breathing is difficult and chest/airway obstruction is present.",Hidhma-Shwasa,test,hard,105,hiccup and breathlessness associated with obstructed respiratory movement; the text relates them to similar causes and treatment and describes chest/airway obstruction,controlled paraphrase from source-derived profile
T1_0074,"The reported symptoms are respiratory movement feels obstructed, chest/airway obstruction is present, and the complaint is associated with disturbed Vata and Kapha movement.",Hidhma-Shwasa,test,hard,105,hiccup and breathlessness associated with obstructed respiratory movement; the text relates them to similar causes and treatment and describes chest/airway obstruction,controlled paraphrase from source-derived profile
T1_0075,"The presentation is suggestive of a disorder with hiccup and breathlessness occur together, the complaint is associated with disturbed Vata and Kapha movement, and breathing is difficult.",Hidhma-Shwasa,test,hard,105,hiccup and breathlessness associated with obstructed respiratory movement; the text relates them to similar causes and treatment and describes chest/airway obstruction,controlled paraphrase from source-derived profile
T1_0076,"A patient presents with cough is present, breathlessness is present, and the voice is altered.",Rajayakshma,train,easy,115,"a wasting-type illness with cough, breathlessness, fever, voice change and related symptoms; the chapter also discusses weakness and multiple dosha involvement",controlled paraphrase from source-derived profile
T1_0077,"The main findings are fever occurs, along with the voice is altered and multiple doshas are involved.",Rajayakshma,train,easy,115,"a wasting-type illness with cough, breathlessness, fever, voice change and related symptoms; the chapter also discusses weakness and multiple dosha involvement",controlled paraphrase from source-derived profile
T1_0078,Clinical features include weakness is prominent; the patient also has multiple doshas are involved and cough is present.,Rajayakshma,train,easy,115,"a wasting-type illness with cough, breathlessness, fever, voice change and related symptoms; the chapter also discusses weakness and multiple dosha involvement",controlled paraphrase from source-derived profile
T1_0079,"The presentation is characterized by the condition has a wasting-type presentation, with cough is present and fever occurs occurring together.",Rajayakshma,train,easy,115,"a wasting-type illness with cough, breathlessness, fever, voice change and related symptoms; the chapter also discusses weakness and multiple dosha involvement",controlled paraphrase from source-derived profile
T1_0080,A case is described with breathlessness is present. Additional findings are fever occurs and weakness is prominent.,Rajayakshma,train,easy,115,"a wasting-type illness with cough, breathlessness, fever, voice change and related symptoms; the chapter also discusses weakness and multiple dosha involvement",controlled paraphrase from source-derived profile
T1_0081,"The patient reports the voice is altered and weakness is prominent, with the condition has a wasting-type presentation also present.",Rajayakshma,train,medium,115,"a wasting-type illness with cough, breathlessness, fever, voice change and related symptoms; the chapter also discusses weakness and multiple dosha involvement",controlled paraphrase from source-derived profile
T1_0082,"The dominant complaint is multiple doshas are involved, accompanied by the condition has a wasting-type presentation and breathlessness is present.",Rajayakshma,train,medium,115,"a wasting-type illness with cough, breathlessness, fever, voice change and related symptoms; the chapter also discusses weakness and multiple dosha involvement",controlled paraphrase from source-derived profile
T1_0083,"On assessment, cough is present is noted, together with breathlessness is present and the voice is altered.",Rajayakshma,train,medium,115,"a wasting-type illness with cough, breathlessness, fever, voice change and related symptoms; the chapter also discusses weakness and multiple dosha involvement",controlled paraphrase from source-derived profile
T1_0084,"The symptom pattern includes fever occurs, the voice is altered, and multiple doshas are involved.",Rajayakshma,train,medium,115,"a wasting-type illness with cough, breathlessness, fever, voice change and related symptoms; the chapter also discusses weakness and multiple dosha involvement",controlled paraphrase from source-derived profile
T1_0085,"A typical presentation may include weakness is prominent, while multiple doshas are involved and cough is present are also observed.",Rajayakshma,train,medium,115,"a wasting-type illness with cough, breathlessness, fever, voice change and related symptoms; the chapter also discusses weakness and multiple dosha involvement",controlled paraphrase from source-derived profile
T1_0086,The case shows the condition has a wasting-type presentation; associated findings include cough is present and fever occurs.,Rajayakshma,validation,hard,115,"a wasting-type illness with cough, breathlessness, fever, voice change and related symptoms; the chapter also discusses weakness and multiple dosha involvement",controlled paraphrase from source-derived profile
T1_0087,The patient has breathlessness is present and fever occurs; another notable feature is that weakness is prominent.,Rajayakshma,validation,hard,115,"a wasting-type illness with cough, breathlessness, fever, voice change and related symptoms; the chapter also discusses weakness and multiple dosha involvement",controlled paraphrase from source-derived profile
T1_0088,"The clinical picture is mainly the voice is altered, with additional features of weakness is prominent and the condition has a wasting-type presentation.",Rajayakshma,test,hard,115,"a wasting-type illness with cough, breathlessness, fever, voice change and related symptoms; the chapter also discusses weakness and multiple dosha involvement",controlled paraphrase from source-derived profile
T1_0089,"The reported symptoms are multiple doshas are involved, the condition has a wasting-type presentation, and breathlessness is present.",Rajayakshma,test,hard,115,"a wasting-type illness with cough, breathlessness, fever, voice change and related symptoms; the chapter also discusses weakness and multiple dosha involvement",controlled paraphrase from source-derived profile
T1_0090,"The presentation is suggestive of a disorder with cough is present, breathlessness is present, and the voice is altered.",Rajayakshma,test,hard,115,"a wasting-type illness with cough, breathlessness, fever, voice change and related symptoms; the chapter also discusses weakness and multiple dosha involvement",controlled paraphrase from source-derived profile
T1_0091,"A patient presents with food does not pass normally, there is obstruction in the food passage, and the chest feels constricted.",Bhaktarodha,train,easy,133,"difficulty or obstruction in the passage of food, with salivation and chest constriction; the text links it with drying/obstruction of the food passage",controlled paraphrase from source-derived profile
T1_0092,"The main findings are salivation increases, along with the chest feels constricted and swallowing or food passage is the main complaint.",Bhaktarodha,train,easy,133,"difficulty or obstruction in the passage of food, with salivation and chest constriction; the text links it with drying/obstruction of the food passage",controlled paraphrase from source-derived profile
T1_0093,Clinical features include the food pathway feels dry and obstructed; the patient also has swallowing or food passage is the main complaint and there is obstruction in the food passage.,Bhaktarodha,train,easy,133,"difficulty or obstruction in the passage of food, with salivation and chest constriction; the text links it with drying/obstruction of the food passage",controlled paraphrase from source-derived profile
T1_0094,"The presentation is characterized by food does not pass normally, with there is obstruction in the food passage and the chest feels constricted occurring together.",Bhaktarodha,train,easy,133,"difficulty or obstruction in the passage of food, with salivation and chest constriction; the text links it with drying/obstruction of the food passage",controlled paraphrase from source-derived profile
T1_0095,A case is described with salivation increases. Additional findings are the chest feels constricted and swallowing or food passage is the main complaint.,Bhaktarodha,train,easy,133,"difficulty or obstruction in the passage of food, with salivation and chest constriction; the text links it with drying/obstruction of the food passage",controlled paraphrase from source-derived profile
T1_0096,"The patient reports the food pathway feels dry and obstructed and swallowing or food passage is the main complaint, with there is obstruction in the food passage also present.",Bhaktarodha,train,medium,133,"difficulty or obstruction in the passage of food, with salivation and chest constriction; the text links it with drying/obstruction of the food passage",controlled paraphrase from source-derived profile
T1_0097,"The dominant complaint is food does not pass normally, accompanied by there is obstruction in the food passage and the chest feels constricted.",Bhaktarodha,train,medium,133,"difficulty or obstruction in the passage of food, with salivation and chest constriction; the text links it with drying/obstruction of the food passage",controlled paraphrase from source-derived profile
T1_0098,"On assessment, salivation increases is noted, together with the chest feels constricted and swallowing or food passage is the main complaint.",Bhaktarodha,train,medium,133,"difficulty or obstruction in the passage of food, with salivation and chest constriction; the text links it with drying/obstruction of the food passage",controlled paraphrase from source-derived profile
T1_0099,"The symptom pattern includes the food pathway feels dry and obstructed, swallowing or food passage is the main complaint, and there is obstruction in the food passage.",Bhaktarodha,train,medium,133,"difficulty or obstruction in the passage of food, with salivation and chest constriction; the text links it with drying/obstruction of the food passage",controlled paraphrase from source-derived profile
T1_0100,"A typical presentation may include food does not pass normally, while there is obstruction in the food passage and the chest feels constricted are also observed.",Bhaktarodha,train,medium,133,"difficulty or obstruction in the passage of food, with salivation and chest constriction; the text links it with drying/obstruction of the food passage",controlled paraphrase from source-derived profile
T1_0101,The case shows salivation increases; associated findings include the chest feels constricted and swallowing or food passage is the main complaint.,Bhaktarodha,validation,hard,133,"difficulty or obstruction in the passage of food, with salivation and chest constriction; the text links it with drying/obstruction of the food passage",controlled paraphrase from source-derived profile
T1_0102,The patient has the food pathway feels dry and obstructed and swallowing or food passage is the main complaint; another notable feature is that there is obstruction in the food passage.,Bhaktarodha,validation,hard,133,"difficulty or obstruction in the passage of food, with salivation and chest constriction; the text links it with drying/obstruction of the food passage",controlled paraphrase from source-derived profile
